purl,id,ecosystem,cve,cpe
pkg:maven/com.amazonaws/aws-encryption-sdk-java,GHSA-wqgp-vphw-hphf,pypi,CVE-2020-8897,cpe:2.3:a:amazon:aws_encryption_sdk:*:*:*:*:*:*:*:*
pkg:maven/net.sf.mpxj/mpxj,GHSA-jf2p-4gqj-849g,pypi,CVE-2022-41954,cpe:2.3:a:mpxj:mpxj:*:*:*:*:*:*:*:*
pkg:maven/org.apache.dolphinscheduler/dolphinscheduler,GHSA-qg5x-66hp-cw5p,pypi,CVE-2022-25598,cpe:2.3:a:apache:dolphinscheduler:*:*:*:*:*:*:*:*
pkg:maven/org.apache.iotdb/iotdb-parent,GHSA-g6hg-4v3c-6jq7,pypi,CVE-2022-43766,cpe:2.3:a:apache:iotdb:*:*:*:*:*:*:*:*
pkg:maven/org.apache.iotdb/iotdb-server,GHSA-g6vm-3ch8-c6jq,pypi,CVE-2022-38369,cpe:2.3:a:apache:iotdb:0.13.0:*:*:*:*:*:*:*
pkg:maven/org.apache.spark/spark-core,GHSA-43xg-8wmj-cw8h,pypi,CVE-2022-31777,cpe:2.3:a:apache:spark:*:*:*:*:*:*:*:*
pkg:maven/org.apache.spark/spark-core,GHSA-43xg-8wmj-cw8h,pypi,CVE-2022-31777,cpe:2.3:a:apache:spark:3.3.0:*:*:*:*:*:*:*
pkg:maven/org.apache.spark/spark-core,GHSA-4x9r-j582-cgr8,pypi,CVE-2022-33891,cpe:2.3:a:apache:spark:*:*:*:*:*:*:*:*
pkg:maven/org.apache.systemds/systemds,GHSA-m43h-hfrq-x8wx,pypi,CVE-2022-26477,cpe:2.3:a:apache:systemds:*:*:*:*:*:*:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-743r-5g92-5vgf,pypi,CVE-2021-40829,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:c\+\+:*:*
pkg:maven/software.amazon.awssdk.iotdevicesdk/aws-iot-device-sdk,GHSA-743r-5g92-5vgf,pypi,CVE-2021-40829,cpe:2.3:a:amazon:amazon_web_services_internet_of_things_device_software_development_kit_v2:*:*:*:*:*:java:*:*
